session_id,wave,damage_taken,enemies_killed,currency_earned,completion_time
20260416_213800,1,0,5,500,7.8
20260416_213800,1,0,5,500,7.8
20260416_213821,1,0,5,500,5.8
20260416_213844,1,0,5,500,11.3
20260416_213844,1,0,5,500,11.3
20260416_213844,2,0,11,1100,17.3
20260416_213844,1,0,5,500,11.3
20260416_213844,2,0,11,1100,17.3
20260416_213844,3,0,19,1900,17.8
20260416_213844,1,0,5,500,11.3
20260416_213844,2,0,11,1100,17.3
20260416_213844,3,0,19,1900,17.8
20260416_213844,4,0,29,2900,25.9
20260416_213844,1,0,5,500,11.3
20260416_213844,2,0,11,1100,17.3
20260416_213844,3,0,19,1900,17.8
20260416_213844,4,0,29,2900,25.9
20260416_213844,5,35,41,4100,42.4
20260416_213844,1,0,5,500,11.3
20260416_213844,2,0,11,1100,17.3
20260416_213844,3,0,19,1900,17.8
20260416_213844,4,0,29,2900,25.9
20260416_213844,5,35,41,4100,42.4
20260416_214916,1,15.0,5,500,9.3
20260416_215122,1,10,5,500,6.8
20260416_215122,1,10,5,500,6.8
20260416_215122,2,0,11,1100,14.3
20260416_215122,1,10,5,500,6.8
20260416_215122,2,0,11,1100,14.3
20260416_215122,3,10,19,1900,26.5
20260416_215646,1,0,5,500,11.8
20260416_215734,1,0,5,500,6.3
20260416_215734,1,0,5,500,6.3
20260416_215734,2,50.0,11,1100,12.0
20260416_215734,1,0,5,500,6.3
20260416_215734,2,50.0,11,1100,12.0
20260416_215734,3,0,19,1900,21.6
20260416_215734,1,0,5,500,6.3
20260416_215734,2,50.0,11,1100,12.0
20260416_215734,3,0,19,1900,21.6
20260416_215734,4,35,29,2900,27.9
20260416_215734,1,0,5,500,6.3
20260416_215734,2,50.0,11,1100,12.0
20260416_215734,3,0,19,1900,21.6
20260416_215734,4,35,29,2900,27.9
20260416_220040,1,0,5,500,9.8
20260416_220040,1,0,5,500,9.8
20260416_220040,2,0,11,1100,16.9
20260416_220040,1,0,5,500,9.8
20260416_220040,2,0,11,1100,16.9
20260416_220040,3,0,19,1900,24.3
20260416_220040,1,0,5,500,9.8
20260416_220040,2,0,11,1100,16.9
20260416_220040,3,0,19,1900,24.3
20260416_220040,4,50,29,2900,34.7
20260416_220040,1,0,5,500,9.8
20260416_220040,2,0,11,1100,16.9
20260416_220040,3,0,19,1900,24.3
