session_id,glock,revolver,mp5,ak47,shotgun,sniper
20260416_213800,15,0,0,0,0,0
20260416_213800,15,0,0,0,0,0
20260416_213821,11,0,0,0,0,0
20260416_213844,12,0,0,0,0,0
20260416_213844,19,0,28,0,0,0
20260416_213844,19,0,28,43,0,0
20260416_213844,19,0,28,88,12,0
20260416_213844,69,0,28,88,34,0
20260416_213844,69,0,28,88,34,0
20260416_214916,11,0,0,0,0,0
20260416_215122,10,0,0,0,0,0
20260416_215122,22,0,0,0,6,0
20260416_215122,22,0,0,90,6,0
20260416_215646,12,0,0,0,0,0
20260416_215734,13,0,0,0,0,0
20260416_215734,39,0,0,0,1,0
20260416_215734,66,0,0,0,10,0
20260416_215734,66,18,0,0,32,0
20260416_215734,66,29,0,0,46,0
20260416_220040,19,0,0,0,0,0
20260416_220040,19,0,44,0,0,0
20260416_220040,19,0,74,32,0,0
20260416_220040,19,0,133,98,0,0
20260416_220040,19,0,251,171,0,0
20260416_220040,19,0,358,300,0,0
20260416_220040,19,0,358,300,0,0
20260416_221037,5,0,0,0,0,0
20260416_221112,0,0,0,0,0,0
20260416_221121,5,0,0,0,0,0
20260417_145408,15,0,0,0,0,0
20260417_145408,15,0,51,0,0,0
20260417_145408,15,0,51,0,0,0
20260417_191018,10,0,0,0,0,0
20260417_191018,26,0,0,0,5,0
20260417_191018,26,17,0,0,16,0
20260417_191018,26,17,63,0,29,0
20260417_191018,26,17,63,100,40,0
20260417_191018,26,17,63,100,73,24
20260417_191018,26,17,63,188,82,24
20260417_191617,13,0,0,0,0,0
20260419_101214,13,0,0,0,0,0
20260419_101214,13,0,0,0,0,0
20260419_102657,7,0,0,0,0,0
20260419_102657,7,0,30,0,0,0
20260419_103327,18,0,0,0,0,0
20260419_103327,46,12,0,0,0,0
20260419_103327,46,12,0,0,0,0
20260419_104123,16,0,0,0,0,0
20260419_105057,12,0,0,0,0,0
20260419_105658,12,0,0,0,0,0
20260419_105706,12,0,0,0,0,0
20260419_111403,17,0,0,0,0,0
20260419_111403,47,12,0,0,0,0
20260419_111742,21,0,0,0,0,0
20260419_111742,44,10,0,0,0,0
20260419_111742,70,30,0,0,0,0
20260419_111742,70,30,0,0,0,0
20260419_112331,19,0,0,0,0,0
20260419_112623,19,0,0,0,0,0
20260419_112717,23,0,0,0,0,0
20260419_112759,20,0,0,0,0,0
20260419_112759,36,11,0,0,0,0
20260419_113214,16,0,0,0,0,0
20260419_113214,31,9,0,0,0,0
20260419_113214,31,9,0,0,0,0
20260419_113435,20,0,0,0,0,0
20260419_113528,15,0,0,0,0,0
20260419_113528,51,0,0,0,0,0
20260419_113528,51,12,0,0,0,0
20260419_113700,22,0,0,0,0,0
20260419_113700,57,0,0,0,0,0
20260419_113700,57,26,0,0,0,0
20260419_114005,6,0,0,0,0,0
20260419_114033,21,0,0,0,0,0
20260419_114033,75,0,0,0,0,0
20260419_114159,19,0,0,0,0,0
20260419_114159,32,18,0,0,0,0
20260419_114159,71,43,0,0,0,0
20260419_114159,71,76,0,0,31,0
20260419_114159,71,76,145,0,52,0
20260419_114159,71,76,301,0,52,29
20260419_130252,30,0,0,0,0,0
20260419_130252,34,3,0,0,0,0
20260419_130326,18,0,0,0,0,0
20260419_131739,0,0,0,0,0,0
20260419_150928,16,0,0,0,0,0
20260419_150928,56,0,0,0,0,0
20260419_150928,94,18,0,0,0,0
20260419_150928,94,34,87,0,0,0
20260419_150928,94,34,212,0,33,0
20260419_150928,94,34,268,0,44,0
20260419_151413,29,0,0,0,0,0
20260419_151413,47,16,0,0,0,0
20260419_151413,47,16,0,0,0,0
20260419_183046,22,0,0,0,0,0
20260419_183046,22,0,0,0,0,0
20260419_184722,31,0,0,0,0,0
20260419_184815,25,0,0,0,0,0
20260419_184815,75,0,0,0,0,0
20260419_185131,22,0,0,0,0,0
20260419_185238,21,0,0,0,0,0
20260419_185238,42,13,0,0,0,0
20260419_185238,66,38,0,0,0,0
20260419_185238,66,48,109,0,0,0
20260419_192210,21,0,0,0,0,0
20260419_192210,84,0,0,0,0,0
20260419_192210,125,26,0,0,0,0
20260419_192210,125,50,98,0,0,0
20260420_145648,23,0,0,0,0,0
20260420_145648,33,21,0,0,0,0
20260420_181458,22,0,0,0,0,0
20260420_181458,62,0,0,0,0,0
20260420_181458,62,0,98,0,0,0
20260420_181458,62,26,184,0,0,0
20260420_181458,62,44,184,0,27,0
